Date,Price,Open,High,Low,Vol.,Change %
07/16/2020,453.0,453.0,453.0,453.0,,1.12%
07/17/2020,457.0,457.0,457.0,457.0,,0.88%
07/20/2020,460.0,460.0,460.0,460.0,,0.66%
07/21/2020,464.0,464.0,464.0,464.0,,0.87%
07/22/2020,469.0,469.0,469.0,469.0,,1.08%
07/23/2020,470.0,470.0,470.0,470.0,,0.21%
07/24/2020,471.0,471.0,471.0,471.0,,0.21%
07/27/2020,472.0,472.0,472.0,472.0,,0.21%
07/28/2020,474.0,474.0,474.0,474.0,,0.42%
07/29/2020,473.0,473.0,473.0,473.0,,-0.21%
07/30/2020,473.0,473.0,473.0,473.0,,0.00%
07/31/2020,474.0,474.0,474.0,474.0,,0.21%
08/03/2020,472.0,472.0,472.0,472.0,,-0.42%
08/04/2020,470.0,470.0,470.0,470.0,,-0.42%
08/05/2020,469.0,469.0,469.0,469.0,,-0.21%
08/06/2020,469.0,469.0,469.0,469.0,,0.00%
08/07/2020,471.0,471.0,471.0,471.0,,0.43%
08/10/2020,473.0,473.0,473.0,473.0,,0.42%
08/11/2020,475.0,475.0,475.0,475.0,,0.42%
08/12/2020,480.0,480.0,480.0,480.0,,1.05%
08/13/2020,485.0,485.0,485.0,485.0,,1.04%
08/14/2020,491.0,491.0,491.0,491.0,,1.24%
08/17/2020,504.0,504.0,504.0,504.0,,2.65%
08/18/2020,513.0,513.0,513.0,513.0,,1.79%
08/19/2020,525.0,525.0,525.0,525.0,,2.34%
08/20/2020,538.0,538.0,538.0,538.0,,2.48%
08/21/2020,546.0,546.0,546.0,546.0,,1.49%
08/24/2020,554.0,554.0,554.0,554.0,,1.47%
08/25/2020,562.0,562.0,562.0,562.0,,1.44%
08/26/2020,565.0,565.0,565.0,565.0,,0.53%
08/27/2020,568.0,568.0,568.0,568.0,,0.53%
08/28/2020,570.0,570.0,570.0,570.0,,0.35%
09/01/2020,571.0,571.0,571.0,571.0,,0.18%
09/02/2020,571.0,571.0,571.0,571.0,,0.00%
09/03/2020,570.0,570.0,570.0,570.0,,-0.18%
09/04/2020,569.0,569.0,569.0,569.0,,-0.18%
09/07/2020,568.0,568.0,568.0,568.0,,-0.18%
09/08/2020,567.0,567.0,567.0,567.0,,-0.18%
09/09/2020,565.0,565.0,565.0,565.0,,-0.35%
09/10/2020,562.0,562.0,562.0,562.0,,-0.53%
09/11/2020,560.0,560.0,560.0,560.0,,-0.36%
09/14/2020,558.0,558.0,558.0,558.0,,-0.36%
09/15/2020,554.0,554.0,554.0,554.0,,-0.72%
09/16/2020,553.0,553.0,553.0,553.0,,-0.18%
09/17/2020,554.0,554.0,554.0,554.0,,0.18%
09/18/2020,558.0,558.0,558.0,558.0,,0.72%
09/21/2020,561.0,561.0,561.0,561.0,,0.54%
09/22/2020,566.0,566.0,566.0,566.0,,0.89%
09/23/2020,575.0,575.0,575.0,575.0,,1.59%
09/24/2020,579.0,579.0,579.0,579.0,,0.70%
09/25/2020,585.0,585.0,585.0,585.0,,1.04%
09/28/2020,587.0,587.0,587.0,587.0,,0.34%
09/29/2020,589.0,589.0,589.0,589.0,,0.34%
09/30/2020,591.0,591.0,591.0,591.0,,0.34%
10/01/2020,592.0,592.0,592.0,592.0,,0.17%
10/02/2020,593.0,593.0,593.0,593.0,,0.17%
10/05/2020,592.0,592.0,592.0,592.0,,-0.17%
10/06/2020,594.0,594.0,594.0,594.0,,0.34%
10/07/2020,593.0,593.0,593.0,593.0,,-0.17%
10/08/2020,594.0,594.0,594.0,594.0,,0.17%
10/09/2020,595.0,595.0,595.0,595.0,,0.17%
10/12/2020,596.0,596.0,596.0,596.0,,0.17%
10/13/2020,598.0,598.0,598.0,598.0,,0.34%
10/14/2020,599.0,599.0,599.0,599.0,,0.17%
10/15/2020,599.0,599.0,599.0,599.0,,0.00%
10/16/2020,599.0,599.0,599.0,599.0,,0.00%
10/19/2020,599.0,599.0,599.0,599.0,,0.00%
10/20/2020,597.0,597.0,597.0,597.0,,-0.33%
10/21/2020,596.0,596.0,596.0,596.0,,-0.17%
10/22/2020,597.0,597.0,597.0,597.0,,0.17%
10/23/2020,597.0,597.0,597.0,597.0,,0.00%
10/26/2020,596.0,596.0,596.0,596.0,,-0.17%
10/27/2020,596.0,596.0,596.0,596.0,,0.00%
10/28/2020,596.0,596.0,596.0,596.0,,0.00%
10/29/2020,594.0,594.0,594.0,594.0,,-0.34%
10/30/2020,591.0,591.0,591.0,591.0,,-0.51%
11/02/2020,590.0,590.0,590.0,590.0,,-0.17%
11/03/2020,588.0,588.0,588.0,588.0,,-0.34%
11/04/2020,586.0,586.0,586.0,586.0,,-0.34%
11/05/2020,582.0,582.0,582.0,582.0,,-0.68%
11/06/2020,583.0,583.0,583.0,583.0,,0.17%
11/09/2020,583.0,583.0,583.0,583.0,,0.00%
11/10/2020,583.0,583.0,583.0,583.0,,0.00%
11/11/2020,584.0,584.0,584.0,584.0,,0.17%
11/12/2020,585.0,585.0,585.0,585.0,,0.17%
11/13/2020,586.0,586.0,586.0,586.0,,0.17%
11/16/2020,585.0,585.0,585.0,585.0,,-0.17%
11/17/2020,588.0,588.0,588.0,588.0,,0.51%
11/18/2020,593.0,593.0,593.0,593.0,,0.85%
11/19/2020,598.0,598.0,598.0,598.0,,0.84%
11/20/2020,602.0,602.0,602.0,602.0,,0.67%
11/23/2020,606.0,606.0,606.0,606.0,,0.66%
11/24/2020,613.0,613.0,613.0,613.0,,1.16%
11/25/2020,625.0,625.0,625.0,625.0,,1.96%
11/26/2020,641.0,641.0,641.0,641.0,,2.56%
11/27/2020,649.0,649.0,649.0,649.0,,1.25%
11/30/2020,654.0,654.0,654.0,654.0,,0.77%
12/01/2020,658.0,658.0,658.0,658.0,,0.61%
12/02/2020,660.0,660.0,660.0,660.0,,0.30%
12/03/2020,663.0,663.0,663.0,663.0,,0.45%
12/04/2020,664.0,664.0,664.0,664.0,,0.15%
12/07/2020,664.0,664.0,664.0,664.0,,0.00%
12/08/2020,663.0,663.0,663.0,663.0,,-0.15%
12/09/2020,663.0,663.0,663.0,663.0,,0.00%
12/10/2020,666.0,666.0,666.0,666.0,,0.45%
12/11/2020,668.0,668.0,668.0,668.0,,0.30%
12/14/2020,670.0,670.0,670.0,670.0,,0.30%
12/15/2020,674.0,674.0,674.0,674.0,,0.60%
12/16/2020,675.0,675.0,675.0,675.0,,0.15%
12/17/2020,676.0,676.0,676.0,676.0,,0.15%
12/18/2020,678.0,678.0,678.0,678.0,,0.30%
12/21/2020,678.0,678.0,678.0,678.0,,0.00%
12/22/2020,678.0,678.0,678.0,678.0,,0.00%
12/23/2020,677.0,677.0,677.0,677.0,,-0.15%
12/24/2020,677.0,677.0,677.0,677.0,,0.00%
01/04/2021,669.0,669.0,669.0,669.0,,-1.18%
01/05/2021,666.0,666.0,666.0,666.0,,-0.45%
01/06/2021,662.0,662.0,662.0,662.0,,-0.60%
01/07/2021,661.0,661.0,661.0,661.0,,-0.15%
01/08/2021,656.0,656.0,656.0,656.0,,-0.76%
01/11/2021,652.0,652.0,652.0,652.0,,-0.61%
01/12/2021,650.0,650.0,650.0,650.0,,-0.31%
01/13/2021,650.0,650.0,650.0,650.0,,0.00%
01/14/2021,651.0,651.0,651.0,651.0,,0.15%
01/15/2021,653.0,653.0,653.0,653.0,,0.31%
01/18/2021,654.0,654.0,654.0,654.0,,0.15%
01/19/2021,656.0,656.0,656.0,656.0,,0.31%
01/20/2021,660.0,660.0,660.0,660.0,,0.61%
01/21/2021,666.0,666.0,666.0,666.0,,0.91%
01/22/2021,670.0,670.0,670.0,670.0,,0.60%
01/25/2021,677.0,677.0,677.0,677.0,,1.04%
01/26/2021,683.0,683.0,683.0,683.0,,0.89%
01/27/2021,689.0,689.0,689.0,689.0,,0.88%
01/28/2021,697.0,697.0,697.0,697.0,,1.16%
01/29/2021,701.0,701.0,701.0,701.0,,0.57%
02/01/2021,703.0,703.0,703.0,703.0,,0.29%
02/02/2021,706.0,706.0,706.0,706.0,,0.43%
02/03/2021,709.0,709.0,709.0,709.0,,0.42%
02/04/2021,712.0,712.0,712.0,712.0,,0.42%
02/05/2021,719.0,719.0,719.0,719.0,,0.98%
02/08/2021,725.0,725.0,725.0,725.0,,0.83%
02/09/2021,733.0,733.0,733.0,733.0,,1.10%
02/10/2021,741.0,741.0,741.0,741.0,,1.09%
02/11/2021,749.0,749.0,749.0,749.0,,1.08%
02/12/2021,751.0,751.0,751.0,751.0,,0.27%
02/15/2021,758.0,758.0,758.0,758.0,,0.93%
02/16/2021,771.0,771.0,771.0,771.0,,1.72%
02/17/2021,800.0,800.0,800.0,800.0,,3.76%
02/18/2021,844.0,844.0,844.0,844.0,,5.50%
02/19/2021,901.0,901.0,901.0,901.0,,6.75%
02/22/2021,945.0,945.0,945.0,945.0,,4.88%
02/23/2021,978.0,978.0,978.0,978.0,,3.49%
02/24/2021,1018.0,1018.0,1018.0,1018.0,,4.09%
02/25/2021,1050.0,1050.0,1050.0,1050.0,,3.14%
02/26/2021,1070.0,1070.0,1070.0,1070.0,,1.90%
03/01/2021,1079.0,1079.0,1079.0,1079.0,,0.84%
03/02/2021,1087.0,1087.0,1087.0,1087.0,,0.74%
03/03/2021,1091.0,1091.0,1091.0,1091.0,,0.37%
03/04/2021,1099.0,1099.0,1099.0,1099.0,,0.73%
03/05/2021,1131.0,1131.0,1131.0,1131.0,,2.91%
03/08/2021,1155.0,1155.0,1155.0,1155.0,,2.12%
03/09/2021,1181.0,1181.0,1181.0,1181.0,,2.25%
03/10/2021,1222.0,1222.0,1222.0,1222.0,,3.47%
03/11/2021,1259.0,1259.0,1259.0,1259.0,,3.03%
03/12/2021,1283.0,1283.0,1283.0,1283.0,,1.91%
03/15/2021,1296.0,1296.0,1296.0,1296.0,,1.01%
03/16/2021,1307.0,1307.0,1307.0,1307.0,,0.85%
03/17/2021,1327.0,1327.0,1327.0,1327.0,,1.53%
03/18/2021,1357.0,1357.0,1357.0,1357.0,,2.26%
03/19/2021,1360.0,1360.0,1360.0,1360.0,,0.22%
03/22/2021,1356.0,1356.0,1356.0,1356.0,,-0.29%
03/23/2021,1346.0,1346.0,1346.0,1346.0,,-0.74%
03/24/2021,1319.0,1319.0,1319.0,1319.0,,-2.01%
03/25/2021,1288.0,1288.0,1288.0,1288.0,,-2.35%
03/26/2021,1272.0,1272.0,1272.0,1272.0,,-1.24%
03/29/2021,1245.0,1245.0,1245.0,1245.0,,-2.12%
03/30/2021,1201.0,1201.0,1201.0,1201.0,,-3.53%
03/31/2021,1167.0,1167.0,1167.0,1167.0,,-2.83%
04/01/2021,1137.0,1137.0,1137.0,1137.0,,-2.57%
04/06/2021,1110.0,1110.0,1110.0,1110.0,,-2.37%
04/07/2021,1090.0,1090.0,1090.0,1090.0,,-1.80%
04/08/2021,1068.0,1068.0,1068.0,1068.0,,-2.02%
04/09/2021,1049.0,1049.0,1049.0,1049.0,,-1.78%
04/12/2021,1032.0,1032.0,1032.0,1032.0,,-1.62%
04/13/2021,1015.0,1015.0,1015.0,1015.0,,-1.65%
04/14/2021,1004.0,1004.0,1004.0,1004.0,,-1.08%
04/15/2021,999.0,999.0,999.0,999.0,,-0.50%
04/16/2021,1006.0,1006.0,1006.0,1006.0,,0.70%
04/19/2021,1014.0,1014.0,1014.0,1014.0,,0.80%
04/20/2021,1025.0,1025.0,1025.0,1025.0,,1.08%
04/21/2021,1043.0,1043.0,1043.0,1043.0,,1.76%
04/22/2021,1071.0,1071.0,1071.0,1071.0,,2.68%
04/23/2021,1092.0,1092.0,1092.0,1092.0,,1.96%
04/26/2021,1104.0,1104.0,1104.0,1104.0,,1.10%
04/27/2021,1113.0,1113.0,1113.0,1113.0,,0.82%
04/28/2021,1117.0,1117.0,1117.0,1117.0,,0.36%
04/29/2021,1141.0,1141.0,1141.0,1141.0,,2.15%
04/30/2021,1145.0,1145.0,1145.0,1145.0,,0.35%
05/04/2021,1156.0,1156.0,1156.0,1156.0,,0.96%
05/05/2021,1166.0,1166.0,1166.0,1166.0,,0.87%
05/06/2021,1177.0,1177.0,1177.0,1177.0,,0.94%
05/07/2021,1189.0,1189.0,1189.0,1189.0,,1.02%
05/10/2021,1203.0,1203.0,1203.0,1203.0,,1.18%
05/11/2021,1223.0,1223.0,1223.0,1223.0,,1.66%
05/12/2021,1241.0,1241.0,1241.0,1241.0,,1.47%
05/13/2021,1259.0,1259.0,1259.0,1259.0,,1.45%
05/14/2021,1269.0,1269.0,1269.0,1269.0,,0.79%
05/17/2021,1278.0,1278.0,1278.0,1278.0,,0.71%
05/18/2021,1289.0,1289.0,1289.0,1289.0,,0.86%
05/19/2021,1298.0,1298.0,1298.0,1298.0,,0.70%
05/20/2021,1310.0,1310.0,1310.0,1310.0,,0.92%
05/21/2021,1317.0,1317.0,1317.0,1317.0,,0.53%
05/24/2021,1320.0,1320.0,1320.0,1320.0,,0.23%
