"Date","Price","Open","High","Low","Vol.","Change %"
"13-11-2023","1,127.00","1,127.00","1,127.00","1,127.00","","0.18%"
"10-11-2023","1,125.00","1,125.00","1,125.00","1,125.00","","0.81%"
"09-11-2023","1,116.00","1,116.00","1,116.00","1,116.00","","1.09%"
"08-11-2023","1,104.00","1,104.00","1,104.00","1,104.00","","0.64%"
"07-11-2023","1,097.00","1,097.00","1,097.00","1,097.00","","-0.09%"
"06-11-2023","1,098.00","1,098.00","1,098.00","1,098.00","","-0.27%"
"03-11-2023","1,101.00","1,101.00","1,101.00","1,101.00","","-0.63%"
"02-11-2023","1,108.00","1,108.00","1,108.00","1,108.00","","-0.98%"
"01-11-2023","1,119.00","1,119.00","1,119.00","1,119.00","","-1.41%"
"31-10-2023","1,135.00","1,135.00","1,135.00","1,135.00","","-2.07%"
"30-10-2023","1,159.00","1,159.00","1,159.00","1,159.00","","-2.11%"
"27-10-2023","1,184.00","1,184.00","1,184.00","1,184.00","","-3.50%"
"26-10-2023","1,227.00","1,227.00","1,227.00","1,227.00","","-1.60%"
"25-10-2023","1,247.00","1,247.00","1,247.00","1,247.00","","-1.50%"
"24-10-2023","1,266.00","1,266.00","1,266.00","1,266.00","","-1.02%"
"23-10-2023","1,279.00","1,279.00","1,279.00","1,279.00","","-0.62%"
"20-10-2023","1,287.00","1,287.00","1,287.00","1,287.00","","0.00%"
"19-10-2023","1,287.00","1,287.00","1,287.00","1,287.00","","0.16%"
"18-10-2023","1,285.00","1,285.00","1,285.00","1,285.00","","0.63%"
"17-10-2023","1,277.00","1,277.00","1,277.00","1,277.00","","0.63%"
"16-10-2023","1,269.00","1,269.00","1,269.00","1,269.00","","0.08%"
"13-10-2023","1,268.00","1,268.00","1,268.00","1,268.00","","0.16%"
"12-10-2023","1,266.00","1,266.00","1,266.00","1,266.00","","0.40%"
"11-10-2023","1,261.00","1,261.00","1,261.00","1,261.00","","0.88%"
"10-10-2023","1,250.00","1,250.00","1,250.00","1,250.00","","1.46%"
