Date,Price,Open,High,Low,Vol.,Change %
12/14/2020,1481.0,1481.0,1481.0,1481.0,,3.28%
12/15/2020,1583.0,1583.0,1583.0,1583.0,,6.89%
12/16/2020,1667.0,1667.0,1667.0,1667.0,,5.31%
12/17/2020,1705.0,1705.0,1705.0,1705.0,,2.28%
12/18/2020,1802.0,1802.0,1802.0,1802.0,,5.69%
12/21/2020,1819.0,1819.0,1819.0,1819.0,,0.94%
12/22/2020,1865.0,1865.0,1865.0,1865.0,,2.53%
12/23/2020,1979.0,1979.0,1979.0,1979.0,,6.11%
12/24/2020,2006.0,2006.0,2006.0,2006.0,,1.36%
01/04/2021,2008.0,2008.0,2008.0,2008.0,,0.10%
01/05/2021,2099.0,2099.0,2099.0,2099.0,,4.53%
01/06/2021,2087.0,2087.0,2087.0,2087.0,,-0.57%
01/07/2021,2122.0,2122.0,2122.0,2122.0,,1.68%
01/08/2021,2548.0,2548.0,2548.0,2548.0,,20.08%
01/11/2021,2955.0,2955.0,2955.0,2955.0,,15.97%
01/12/2021,3186.0,3186.0,3186.0,3186.0,,7.82%
01/13/2021,3194.0,3194.0,3194.0,3194.0,,0.25%
01/14/2021,3012.0,3012.0,3012.0,3012.0,,-5.70%
01/15/2021,2893.0,2893.0,2893.0,2893.0,,-3.95%
01/18/2021,2839.0,2839.0,2839.0,2839.0,,-1.87%
01/19/2021,2912.0,2912.0,2912.0,2912.0,,2.57%
01/20/2021,3082.0,3082.0,3082.0,3082.0,,5.84%
01/21/2021,3077.0,3077.0,3077.0,3077.0,,-0.16%
01/22/2021,2970.0,2970.0,2970.0,2970.0,,-3.48%
01/25/2021,2817.0,2817.0,2817.0,2817.0,,-5.15%
01/26/2021,2497.0,2497.0,2497.0,2497.0,,-11.36%
01/27/2021,2145.0,2145.0,2145.0,2145.0,,-14.10%
01/28/2021,1945.0,1945.0,1945.0,1945.0,,-9.32%
01/29/2021,1890.0,1890.0,1890.0,1890.0,,-2.83%
02/01/2021,1871.0,1871.0,1871.0,1871.0,,-1.01%
02/02/2021,1694.0,1694.0,1694.0,1694.0,,-9.46%
02/03/2021,1544.0,1544.0,1544.0,1544.0,,-8.85%
02/04/2021,1540.0,1540.0,1540.0,1540.0,,-0.26%
02/05/2021,1527.0,1527.0,1527.0,1527.0,,-0.84%
02/08/2021,1454.0,1454.0,1454.0,1454.0,,-4.78%
02/09/2021,1370.0,1370.0,1370.0,1370.0,,-5.78%
02/10/2021,1296.0,1296.0,1296.0,1296.0,,-5.40%
02/11/2021,1243.0,1243.0,1243.0,1243.0,,-4.09%
02/12/2021,1242.0,1242.0,1242.0,1242.0,,-0.08%
02/15/2021,1261.0,1261.0,1261.0,1261.0,,1.53%
02/16/2021,1485.0,1485.0,1485.0,1485.0,,17.76%
02/17/2021,1912.0,1912.0,1912.0,1912.0,,28.75%
02/18/2021,1892.0,1892.0,1892.0,1892.0,,-1.05%
02/19/2021,1715.0,1715.0,1715.0,1715.0,,-9.36%
02/22/2021,1673.0,1673.0,1673.0,1673.0,,-2.45%
02/23/2021,1594.0,1594.0,1594.0,1594.0,,-4.72%
02/24/2021,1485.0,1485.0,1485.0,1485.0,,-6.84%
02/25/2021,1471.0,1471.0,1471.0,1471.0,,-0.94%
02/26/2021,1439.0,1439.0,1439.0,1439.0,,-2.18%
03/01/2021,1408.0,1408.0,1408.0,1408.0,,-2.15%
03/02/2021,1465.0,1465.0,1465.0,1465.0,,4.05%
03/03/2021,1677.0,1677.0,1677.0,1677.0,,14.47%
03/04/2021,1673.0,1673.0,1673.0,1673.0,,-0.24%
03/05/2021,1784.0,1784.0,1784.0,1784.0,,6.63%
03/08/2021,1825.0,1825.0,1825.0,1825.0,,2.30%
03/09/2021,1950.0,1950.0,1950.0,1950.0,,6.85%
03/10/2021,2157.0,2157.0,2157.0,2157.0,,10.62%
03/11/2021,2092.0,2092.0,2092.0,2092.0,,-3.01%
03/12/2021,2019.0,2019.0,2019.0,2019.0,,-3.49%
03/15/2021,2056.0,2056.0,2056.0,2056.0,,1.83%
03/16/2021,2083.0,2083.0,2083.0,2083.0,,1.31%
03/17/2021,2162.0,2162.0,2162.0,2162.0,,3.79%
03/18/2021,2276.0,2276.0,2276.0,2276.0,,5.27%
03/19/2021,2344.0,2344.0,2344.0,2344.0,,2.99%
03/22/2021,2382.0,2382.0,2382.0,2382.0,,1.62%
03/23/2021,2305.0,2305.0,2305.0,2305.0,,-3.23%
03/24/2021,2215.0,2215.0,2215.0,2215.0,,-3.90%
03/25/2021,2230.0,2230.0,2230.0,2230.0,,0.68%
03/26/2021,2293.0,2293.0,2293.0,2293.0,,2.83%
03/29/2021,2289.0,2289.0,2289.0,2289.0,,-0.17%
03/30/2021,2217.0,2217.0,2217.0,2217.0,,-3.15%
03/31/2021,2210.0,2210.0,2210.0,2210.0,,-0.32%
04/01/2021,2394.0,2394.0,2394.0,2394.0,,8.33%
04/06/2021,2528.0,2528.0,2528.0,2528.0,,5.60%
04/07/2021,2709.0,2709.0,2709.0,2709.0,,7.16%
04/08/2021,2758.0,2758.0,2758.0,2758.0,,1.81%
04/09/2021,2883.0,2883.0,2883.0,2883.0,,4.53%
04/12/2021,3132.0,3132.0,3132.0,3132.0,,8.64%
04/13/2021,3142.0,3142.0,3142.0,3142.0,,0.32%
04/14/2021,3151.0,3151.0,3151.0,3151.0,,0.29%
04/15/2021,3383.0,3383.0,3383.0,3383.0,,7.36%
04/16/2021,3439.0,3439.0,3439.0,3439.0,,1.66%
04/19/2021,3476.0,3476.0,3476.0,3476.0,,1.08%
04/20/2021,3455.0,3455.0,3455.0,3455.0,,-0.60%
04/21/2021,4014.0,4014.0,4014.0,4014.0,,16.18%
04/22/2021,4077.0,4077.0,4077.0,4077.0,,1.57%
04/23/2021,4192.0,4192.0,4192.0,4192.0,,2.82%
04/26/2021,4262.0,4262.0,4262.0,4262.0,,1.67%
04/27/2021,4516.0,4516.0,4516.0,4516.0,,5.96%
04/28/2021,4680.0,4680.0,4680.0,4680.0,,3.63%
04/29/2021,4774.0,4774.0,4774.0,4774.0,,2.01%
04/30/2021,4896.0,4896.0,4896.0,4896.0,,2.56%
05/04/2021,5180.0,5180.0,5180.0,5180.0,,5.80%
05/05/2021,5404.0,5404.0,5404.0,5404.0,,4.32%
05/06/2021,5167.0,5167.0,5167.0,5167.0,,-4.39%
